8978,8604,8478,26060,8686.67,2:15 PM
7701,8989,8692,25382,8460.67,2:18 PM
8263,8639,8406,25308,8436.00,2:21 PM
8183,8697,8076,24956,8318.67,2:24 PM
7531,8199,7551,23281,7760.33,
6001,5711,5357,17069,5689.67,
5337,5415,5729,16481,5493.67,
5104,5415,5729,16248,5416.00,
5337,5104,5729,16170,5390.00,
5621,5201,5154,15976,5325.33,
4752,5842,4878,15472,5157.33,
5076,5117,5139,15332,5110.67,
4792,5853,4576,15221,5073.67,
2767,8624,1531,12922,4307.33,
2924,2072,1973,6969,2323.00,
